TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
837717257,2,5,10,1989.5856
842058910,2,5,10,1412576.8853795917
845044335,2,5,10,124620.202277551
847162421,2,5,10,11751.43897959184
848151556,2,5,10,688666.0899918367
848764870,2,5,10,263938.1973795919
850549205,2,5,10,46324.15623673471
850562202,2,5,10,14606.235918367347
850564755,2,5,10,43065.63489795919
850575936,2,5,10,76521.4324489796
856030354,2,5,10,6212.122930612243
856030824,2,5,10,7748.183151020405
856065671,2,5,10,3973.6768897959187
860861951,2,5,10,44979.29648163266
863526628,2,5,10,490307.8389795918
868192553,2,5,10,762.2544571428573
869459445,2,5,10,148700.30742040815
929877038,2,5,10,7513.376783673468
943969594,2,5,10,435101.7205795918
943981017,2,5,10,180854.53037551022
1030393072,2,5,10,50865.29505306122
1035064903,2,5,10,33347.5306122449
1035065755,2,5,10,27875.341257142867
1035556462,2,5,10,2286.0561224489797
1037689383,2,5,10,39043.62775510203
1061289615,2,5,10,279318.6627265306
1062867487,2,5,10,11637.987746938776
1063668113,2,5,10,20512.900204081623
1063721481,2,5,10,377707.45844081644
1064483626,2,5,10,165715.83673469388
1064587225,2,5,10,9334.08596734694
1064614421,2,5,10,154261.73821224488
1064646595,2,5,10,126442.69694693878
1066797131,2,5,10,76972.15621224491
1069872187,2,5,10,39693.78346938775
1085391770,2,5,10,19844.51437551021
1088105426,2,5,10,57282.98817142857
1088112515,2,5,10,219513.67294693872
1088136910,2,5,10,18619.28603265307
1088218093,2,5,10,145224.84408163262
1089781589,2,5,10,184334.9454612245
1089827822,2,5,10,47235.170971428575
1091814217,2,5,10,122174.57061224489
1093205481,2,5,10,33696.11555918368
1093460235,2,5,10,115589.03460408164
1100406492,2,5,10,53351.382073469395
1104772642,2,5,10,33715.37739591837
1105145372,2,5,10,19950.56714285714
1105151446,2,5,10,27924.660865306123
1105152913,2,5,10,18264.812040816323
1107699346,2,5,10,950363.1559183676
1107705014,2,5,10,223885.8834612245
1108166267,2,5,10,99295.25285714287
1178366721,2,5,10,80795.49612244895
1182041425,2,5,10,27086.513461224484
1276335264,2,5,10,378679.8171428571
1285920100,2,5,10,286508.07539591833
1354957437,2,5,10,233061.9145387755
1402591736,2,5,10,62407.5918367347
1556889332,2,5,10,70020.9196
1561695466,2,5,10,2829.2343755102033
1574713555,2,5,10,854174.7838285713
1582267634,2,5,10,187870.340277551
1585619152,2,5,10,57464.34849795916
1594262232,2,5,10,33462.77155918366
1594263670,2,5,10,79389.24803265302
1594271549,2,5,10,28657.83623673469
1617994924,2,5,10,67817.20117551021
1711757436,2,5,10,96702.41662040814
716679764,2,6,10,251911.05178775516
735286989,2,6,10,32723.961232653062
796628327,2,6,10,15833.667232653055
803656013,2,6,10,646500.8908081632
804245827,2,6,10,10152.690612244896
807444298,2,6,10,11509.910400000004
811224241,2,6,10,344898.0
811350832,2,6,10,566646.7747265305
811405342,2,6,10,19342.98986938776
813036796,2,6,10,14110.957151020406
815378026,2,6,10,39701.54673469389
821340660,2,6,10,22178.314930612236
821851364,2,6,10,153636.00570612244
824008632,2,6,10,340185.51131428574
824014002,2,6,10,2608.238073469388
824093461,2,6,10,12126.283583673467
829628090,2,6,10,1762548.2661224492
830443285,2,6,10,33954.89674285714
831771058,2,6,10,223253.46196734696
831990789,2,6,10,311231.2246857143
832793358,2,6,10,299844.69841632654
832928980,2,6,10,26996.966889795927
832932915,2,6,10,319405.6471755102
832947522,2,6,10,64183.19366530611
832962701,2,6,10,593729.7580081633
833085457,2,6,10,112539.62615510204
833087665,2,6,10,259111.2899918367
