TEST_ITEM_COMMUNICATIONKEY,BLOCK_SIZE,WINDOW_SIZE,TWIN_NUMBER,MEAN_SAMPLE,MEAN_TEST,BIAS,RESAMPLING_MEAN_TWIN,RESAMPLING_MEAN_TEST,RESAMPLING_VARIANCE_TWIN,RESAMPLING_VARIANCE_TEST,TARGET_VARIANCE,CV,RMSE,MAPE,MPE,MAE,WASSERSTEIN,MAX_TWIN_NUM
813036796,1,1,4,319.49469148541897,168.0,151.49469148541897,319.49469148541897,168.39422739518383,639.136697024996,96.7404528933569,1036911.5735931299,0.07912855416398068,153.58964237632455,0.9017541159846366,0.9017541159846366,151.49469148541897,151.88860981210902,4
822088318,1,1,4,,217.0,,,217.46445595099934,,193.46750241187772,0.0,,,,,,,4
824003149,1,1,4,,124.0,,,123.97094556920457,,71.23230095654282,0.0,,,,,,,4
824008632,1,1,4,920.9189567379069,125.0,795.9189567379069,920.9189567379069,124.9633900752016,5963.564139346505,67.64352853701531,28107700.092806425,0.08385549644913065,799.6565199097076,6.367351653903256,6.367351653903256,795.9189567379069,798.9412109348858,4
824014002,1,1,4,284.5441113224855,181.0,103.54411132248549,284.5441113224855,181.44937166799875,1026.2070867977113,95.03470986633387,1153131.380458214,0.11258172597580542,108.38630022452551,0.5720669133838977,0.5720669133838977,103.54411132248549,105.48355850063268,4
824203823,1,1,4,,578.0,,,574.9854676668067,,684.9651511629166,0.0,,,,,,,4
829556735,1,1,4,,403.0,,,399.61867604061445,,225.39813572116614,0.0,,,,,,,4
829628090,1,1,4,2055.124101368473,315.0,1740.124101368473,2055.124101368473,314.0324924064956,11882.315520677466,197.88445040023566,268721631.9150846,0.05304109579509206,1743.5349734617064,5.524203496407852,5.524203496407852,1740.1241013684735,1743.678461039694,4
831771058,1,1,4,,407.0,,,405.53952611590864,,207.507737130046,0.0,,,,,,,4
832176270,1,1,4,,920.0,,,918.5225463558806,,751.361386451296,0.0,,,,,,,4
833087665,1,1,4,,566.0,,,560.5625775619765,,560.1891405407066,0.0,,,,,,,4
836346869,1,1,4,,274.0,,,273.6620165098168,,266.44093776560453,0.0,,,,,,,4
836349509,1,1,4,,0.0,,,,,,0.0,,,,,,,4
836354525,1,1,4,,340.9999999999999,,,340.1274166040785,,267.2254900258737,0.0,,,,,,,4
837663879,1,1,4,,674.0,,,674.5018852800341,,522.7947927850877,0.0,,,,,,,4
837937579,1,1,4,,197.0,,,198.4094010111852,,106.96109583918346,0.0,,,,,,,4
837976432,1,1,4,513.1794136008467,372.0,141.17941360084671,513.1794136008467,371.41984582542693,2495.486852389713,218.35595392976072,985800.3388633128,0.0973438271548533,149.75684851474625,0.3795545180899279,0.3795145526904481,141.1942807294532,146.07104005578861,4
837978298,1,1,4,283.5259565225343,240.0,43.52595652253427,283.5259565225343,240.29588845939446,1524.2669564141136,132.82268993641844,417548.7732434674,0.13770118993290437,58.47029885006282,0.1967430619905295,0.18135815217722628,47.21833487772708,51.28750003166582,4
838102710,1,1,4,1018.2931566354675,114.0,904.2931566354675,1018.2931566354675,114.0096099553697,3453.361822637629,56.78723021256234,88182470.77855162,0.05770962026602784,906.2005710439471,7.932396110837435,7.932396110837435,904.2931566354677,905.7339548778591,4
840794521,1,1,4,239.53257201777194,129.0,110.53257201777194,239.53257201777194,129.5590457957661,463.5714690411149,208.64287494985575,557406.2405577248,0.08988635543081502,112.61003927672282,0.8568416435486197,0.8568416435486197,110.53257201777195,110.21206603294331,4
842058910,1,1,4,,1081.0,,,1070.8179310107523,,2042.0150555453888,0.0,,,,,,,4
842059288,1,1,4,,889.0,,,887.5187938545837,,976.7926124320849,0.0,,,,,,,4
845339708,1,1,4,,673.0,,,670.1522992210705,,370.4738186048457,0.0,,,,,,,4
845938731,1,1,4,,251.99999999999997,,,247.11755645523428,,137.91063253542092,0.0,,,,,,,4
847089647,1,1,4,1137.5751172839948,208.0,929.5751172839948,1137.5751172839948,208.58783687644268,15435.857761148825,151.39979460550654,38661309.524993025,0.10921575692628416,937.8410080790355,4.469111140788437,4.469111140788437,929.5751172839948,935.7070254030928,4
847101662,1,1,4,,254.0,,,254.34532666347687,,145.55320758360892,0.0,,,,,,,4
847909963,1,1,4,,393.0,,,394.1244977950962,,221.74769177060344,0.0,,,,,,,4
848764870,1,1,4,313.8660450191206,674.0,-360.1339549808794,313.8660450191206,671.2769849188726,1061.531491374693,598.1043870458928,7067996.252747379,0.10380591628775379,361.6047524874981,0.5343233753425509,-0.5343233753425509,360.1339549808794,357.5113046698487,4
850549205,1,1,4,,973.9999999999999,,,970.095057720805,,745.7074783574553,0.0,,,,,,,4
850561732,1,1,4,759.2442344999786,334.0,425.2442344999786,759.2442344999786,334.44002574514764,10032.662317057415,160.48547475415359,8389656.890159803,0.13192484565288903,436.8813583715036,1.2731863308382594,1.2731863308382594,425.2442344999787,433.72366627195663,4
850561943,1,1,4,,442.0,,,443.0154454690331,,403.30471585117084,0.0,,,,,,,4
850562202,1,1,4,,499.00000000000006,,,496.76167463837527,,313.4585325246552,0.0,,,,,,,4
850564755,1,1,4,,584.0,,,583.5669905447443,,455.9257244493429,0.0,,,,,,,4
850575936,1,1,4,1890.0862714079033,1414.0,476.08627140790327,1890.0862714079033,1409.6940924496291,9645.391954579856,2219.6026001128175,21122049.335478183,0.051961097159077776,486.11061475518056,0.336694675677442,0.336694675677442,476.08627140790304,483.11426987345016,4
852310816,1,1,4,,120.0,,,118.44675246819402,,67.1969066737113,0.0,,,,,,,4
854638267,1,1,4,,385.00000000000006,,,382.5425856795295,,194.56723176432862,0.0,,,,,,,4
855312233,1,1,4,965.3267550162504,212.0,753.3267550162504,965.3267550162504,212.60926816306358,4005.6830415047184,356.6576807164012,25121170.65976389,0.06556377445841177,755.9807423901872,3.553428089699294,3.553428089699294,753.3267550162506,754.0309581729871,4
856030824,1,1,4,,118.0,,,118.5027328800505,,80.0852893518833,0.0,,,,,,,4
856065671,1,1,4,224.918971196188,82.0,142.918971196188,224.918971196188,79.54394826852827,479.15448378719134,45.725669732885926,2389137.9273610027,0.09732214894773564,144.58556916775618,1.7429142828803414,1.7429142828803414,142.918971196188,146.16144358313701,4
860861951,1,1,4,527.3409951858972,132.0,395.3409951858972,527.3409951858972,131.9988393795445,1223.3948182172458,85.80154178260615,11944479.304691313,0.06632721831618817,396.8852444886215,2.9950075392871,2.9950075392871,395.34099518589716,396.1779061022275,4
863505500,1,1,4,,156.0,,,156.56810843836033,,82.74970480428783,0.0,,,,,,,4
867948791,1,1,4,,166.0,,,166.5754777312526,,89.10600560598888,0.0,,,,,,,4
