TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
863526628,2,6,10,452401.54981089145
868192553,2,6,10,745.8848442021177
869459445,2,6,10,150620.02911956588
929877038,2,6,10,10207.039558764154
943969594,2,6,10,443770.1365016245
943981017,2,6,10,179067.2639539016
1030393072,2,6,10,52851.71620112753
1035064903,2,6,10,32673.07635495428
1035065755,2,6,10,31646.70613599322
1035556462,2,6,10,1977.8545815205407
1037689383,2,6,10,40995.43446526264
1061289615,2,6,10,284172.4243484176
1062867487,2,6,10,14645.343845646508
1063668113,2,6,10,18915.987643919412
1063721481,2,6,10,337481.86013558094
1064483626,2,6,10,172887.04730467845
1064587225,2,6,10,10661.106345578493
1064614421,2,6,10,152453.07345563298
1064646595,2,6,10,131099.91779335562
1066797131,2,6,10,71345.7223699771
1069872187,2,6,10,31017.445298479295
1085391770,2,6,10,22652.18572192971
1088105426,2,6,10,57470.19052485148
1088112515,2,6,10,215228.3351839996
1088136910,2,6,10,22682.343049915155
1088218093,2,6,10,144474.6974929256
1089781589,2,6,10,162115.17107150677
1089827822,2,6,10,48697.886835013414
1091814217,2,6,10,103793.02021975451
1093205481,2,6,10,58926.35683700633
1093460235,2,6,10,122581.7500885834
1100406492,2,6,10,51255.05460116391
1104772642,2,6,10,32591.121179415193
1105145372,2,6,10,21072.896900067393
1105151446,2,6,10,32392.1562865847
1105152913,2,6,10,19134.54936215683
1107699346,2,6,10,925680.2497814829
1107705014,2,6,10,195116.7769952237
1108166267,2,6,10,91592.75217639016
1178366721,2,6,10,88369.18202340989
1182041425,2,6,10,32993.618461662176
1276335264,2,6,10,376531.8899561081
1285920100,2,6,10,318925.57686668844
1354957437,2,6,10,266056.64634283044
1402591736,2,6,10,45702.09138304691
1556889332,2,6,10,50921.60047374649
1561695466,2,6,10,4054.7190685548208
1574713555,2,6,10,848192.726841511
1582267634,2,6,10,170162.50288026803
1585619152,2,6,10,64997.84256489062
1594262232,2,6,10,42795.612894467384
1594263670,2,6,10,77276.6393846465
1594271549,2,6,10,37097.46506894573
1617994924,2,6,10,64491.590567827705
1711757436,2,6,10,106460.2349179478
716679764,2,7,10,240509.11951946787
735286989,2,7,10,29910.81052274674
796628327,2,7,10,14115.906098999405
803656013,2,7,10,672426.4582255625
804245827,2,7,10,8611.017079975725
807444298,2,7,10,13920.60425356894
811224241,2,7,10,342388.8256984612
811350832,2,7,10,589710.8978416898
811405342,2,7,10,19926.31797038613
813036796,2,7,10,13840.86731962678
815378026,2,7,10,48430.08336148283
821340660,2,7,10,24539.08878538515
821851364,2,7,10,211601.96815410454
824008632,2,7,10,355424.34312594164
824014002,2,7,10,3037.0835345271366
824093461,2,7,10,12503.962274702957
829628090,2,7,10,1782206.744648561
830443285,2,7,10,36856.891254336784
831771058,2,7,10,252278.60698127298
831990789,2,7,10,324498.89933806856
832793358,2,7,10,298732.08097273175
832928980,2,7,10,25823.464587007533
832932915,2,7,10,289719.25077876454
832947522,2,7,10,59417.911657985416
832962701,2,7,10,615970.5437471638
833085457,2,7,10,91435.91457239061
833087665,2,7,10,208581.01763302914
836346869,2,7,10,19800.114976184577
836353167,2,7,10,638147.8506529873
837663879,2,7,10,295308.5214494443
837668025,2,7,10,388003.07858400996
837717257,2,7,10,3367.974566151699
842058910,2,7,10,1442398.9519300498
845044335,2,7,10,130186.55568567428
847162421,2,7,10,20461.578737234355
848151556,2,7,10,688270.5490775609
848764870,2,7,10,262208.7802156107
850549205,2,7,10,46753.165219062255
850562202,2,7,10,16342.555259907489
850564755,2,7,10,66796.39750842196
850575936,2,7,10,86880.01338985497
856030354,2,7,10,6548.381863408127
856030824,2,7,10,8947.345838380776
856065671,2,7,10,4239.251558203753
860861951,2,7,10,46205.685496381695
863526628,2,7,10,454204.03624905855
868192553,2,7,10,756.7313406029833
869459445,2,7,10,151879.5774210854
929877038,2,7,10,10533.807088221673
943969594,2,7,10,444060.3561454894
943981017,2,7,10,178252.76715515685
1030393072,2,7,10,53213.6843928539
1035064903,2,7,10,33467.073534025105
1035065755,2,7,10,32782.3885382417
1035556462,2,7,10,2148.651747915388
1037689383,2,7,10,45455.30810302917
1061289615,2,7,10,284035.85547420976
1062867487,2,7,10,16634.423915183543
1063668113,2,7,10,21358.64965766918
1063721481,2,7,10,337646.9786959478
1064483626,2,7,10,176991.62794543628
1064587225,2,7,10,10852.499868744379
1064614421,2,7,10,154018.73718216727
1064646595,2,7,10,131530.028252063
